Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Description,Investor Names
Venture Round - Laverie,https://www.crunchbase.com/funding_round/laverie-series-unknown--e5d7839f,"Assuit, Asyut, Egypt, Africa",Laverie,https://www.crunchbase.com/organization/laverie,Venture - Series Unknown,,,,2021-04-16,Laverie is an on-demand dry clean & laundry service with pick-up scheduling through our mobile app.,A15
Seed Round - LNKO,https://www.crunchbase.com/funding_round/lnko-seed--1eb7e3a2,"Casablanca, Grand Casablanca, Morocco, Africa",LNKO,https://www.crunchbase.com/organization/lnko,Seed,3000000,MAD,335233,2021-07-13,"Trendy and affordable screen protection glasses, with or without prescription",CDG Invest
Non Equity Assistance - ICT for Development,https://www.crunchbase.com/funding_round/ict-for-development-non-equity-assistance--410d135a,"Kilifi, Coast, Kenya, Africa",ICT for Development,https://www.crunchbase.com/organization/ict-for-development,Non-equity Assistance,,,,2021-05-18,It's mission is to create a lasting solution to underserved communities through ICT literacy.,Village Capital
Seed Round - Thando's,https://www.crunchbase.com/funding_round/thando-s-seed--a39823fa,"Lagos, Lagos, Nigeria, Africa",Thando's,https://www.crunchbase.com/organization/thando-s,Seed,,,,2014-01-01,Thando's is a designer and distributor of fashion footwear for women.,Pipeline Angels
Pre Seed Round - Yemaachi Biotechnology,https://www.crunchbase.com/funding_round/yemaachi-biotechnology-pre-seed--075eda3a,"Accra, Greater Accra, Ghana, Africa",Yemaachi Biotechnology,https://www.crunchbase.com/organization/yemaachi-biotechnology,Pre-Seed,125000,USD,125000,2021-08-31,Yemaachi Biotechnology provides diversifying precision cancer diagnostics and treatments.,Y Combinator
Non Equity Assistance - CoffeeChat,https://www.crunchbase.com/funding_round/coffeechat-non-equity-assistance--e14de9aa,"Grand Baie, Riviere du Rempart, Mauritius, Africa",CoffeeChat,https://www.crunchbase.com/organization/coffeechat,Non-equity Assistance,,,,2021-05-18,CoffeeChat is a coaching-as-a-service platform that enables companies to offer one-on-one executive coaching for their managers.,Village Capital
Non Equity Assistance - Terawork,https://www.crunchbase.com/funding_round/terawork-non-equity-assistance--9a893897,"Lekki, Lagos, Nigeria, Africa",Terawork,https://www.crunchbase.com/organization/terawork,Non-equity Assistance,,,,2021-05-18,Terawork is a one-stop freelance marketplace helping African talent earn income globally through freelancing.,Village Capital
Non Equity Assistance - Irawo,https://www.crunchbase.com/funding_round/irawo-non-equity-assistance--000c595f,"Cotonou, Littoral, Benin, Africa",Irawo,https://www.crunchbase.com/organization/irawo,Non-equity Assistance,,,,2021-05-18,Irawo is a community that helps young Africans make a living from their talents.,Village Capital
Non Equity Assistance - Stars From All Nations,https://www.crunchbase.com/funding_round/stars-from-all-nations-non-equity-assistance--db515c51,"Ghana, Ebonyi, Nigeria, Africa",Stars From All Nations,https://www.crunchbase.com/organization/stars-from-all-nations,Non-equity Assistance,,,,2021-05-18,Stars From All Nations is a high impact social venture established with precise vision to raise the next generation of African leaders.,Village Capital
Non Equity Assistance - DriversNg,https://www.crunchbase.com/funding_round/driversng-non-equity-assistance--e0bd4d76,"Lagos, Lagos, Nigeria, Africa",DriversNg,https://www.crunchbase.com/organization/driversng,Non-equity Assistance,,,,2021-05-18,"DriversNg provides reliable and professionally trained drivers to individuals, companies and organisations all over Nigeria.",Village Capital
Non Equity Assistance - Tustawi,https://www.crunchbase.com/funding_round/tustawi-non-equity-assistance--f9a35ff4,"Nairobi, Nairobi Area, Kenya, Africa",Tustawi,https://www.crunchbase.com/organization/tustawi,Non-equity Assistance,,,,2021-05-18,"Tustawi is an e-learning specialist for professional development, using technology to develop job-specific and market-relevant training.",Village Capital
Non Equity Assistance - WorkNasi Plus,https://www.crunchbase.com/funding_round/worknasi-plus-non-equity-assistance--62b3cf43,"Dar Es Salaam, Dar es Salaam, Tanzania, Africa",WorkNasi Plus,https://www.crunchbase.com/organization/worknasi-plus,Non-equity Assistance,,,,2021-05-18,WorkNasi Plus is a platform empowering businesses in Africa by connecting them to the best-skilled freelancers and remote workers.,Village Capital
Non Equity Assistance - Utiva,https://www.crunchbase.com/funding_round/utiva-non-equity-assistance--b246f8a1,"Lagos, Lagos, Nigeria, Africa",Utiva,https://www.crunchbase.com/organization/utiva,Non-equity Assistance,,,,2021-05-18,Utiva is a platform that delivers a collaborative and cohort-based learning model which allows people access quality technology skills,Village Capital
Non Equity Assistance - Emploi,https://www.crunchbase.com/funding_round/emploi-non-equity-assistance--be86e98d,"Nairobi, Nairobi Area, Kenya, Africa",Emploi,https://www.crunchbase.com/organization/emploi,Non-equity Assistance,,,,2021-05-18,"Emploi is an online portal that offers job vacancies for candidates, human resource and recruitment services in various sectors.",Village Capital
